rooms,locationId,multimedia,price,status,size,address,bathrooms,url,district
0,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/00/54/0e/1300607664.webp', 'tag': 'swimmingPool'}], 'virtual3DTours': [{'url': 'https://inmoreality.com/Testa/fco_remiro_5-7/?lang=en', 'thumbnail': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/00/54/0e/1300607664.webp', 'category': '360'}]}",1025.0,good,51.0,Neighbourhood: Guindalera,1,https://www.idealista.com/inmueble/107020784/,salamanca
0,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/94/c3/18/1292116153.webp', 'tag': 'swimmingPool'}], 'virtual3DTours': [{'url': 'https://inmoreality.com/Testa/fco_remiro_5-7/?lang=en', 'thumbnail': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/94/c3/18/1292116153.webp', 'category': '360'}]}",1040.0,good,50.0,Neighbourhood: Guindalera,1,https://www.idealista.com/inmueble/106725778/,salamanca
0,0-EU-ES-28-07-001-079-04-005,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/f3/a6/9d/1303059138.webp', 'tag': 'unknown'}], 'videos': [{'url': 'https://st3v.idealista.com/3f/f0/ec/1303043992.mp4', 'thumbnail': 'https://st3v.idealista.com/3f/f0/ec/d_0_1303043992.jpg', 'multimediaId': 1303043992, 'hasExternalVideoPlayer': False}], 'virtual3DTours': [{'url': 'https://my.matterport.com/show/?m=ggEf7CDewv8&lang=en', 'thumbnail': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/f3/a6/9d/1303059138.webp', 'category': '360'}]}",1050.0,good,35.0,calle de Agustina de Aragón,1,https://www.idealista.com/inmueble/107102375/,salamanca
0,0-EU-ES-28-07-001-079-04-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/e2/1c/3c/917404159.webp', 'tag': 'room'}]}",1050.0,good,65.0,"calle de Núñez de Balboa, 114",1,https://www.idealista.com/inmueble/95401869/,salamanca
1,0-EU-ES-28-07-001-079-04-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/2c/24/69/1301715642.webp', 'tag': 'unknown'}]}",1050.0,good,45.0,calle de Velázquez,1,https://www.idealista.com/inmueble/106801158/,salamanca
1,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/78/6d/95/1303124476.webp', 'tag': 'corridor'}], 'videos': [{'url': 'https://st3v.idealista.com/35/e6/91/1303181473.mp4', 'thumbnail': 'https://st3v.idealista.com/35/e6/91/d_0_1303181473.jpg', 'multimediaId': 1303181473, 'hasExternalVideoPlayer': False}]}",1050.0,good,35.0,calle de Alcalá,1,https://www.idealista.com/inmueble/107104295/,salamanca
1,0-EU-ES-28-07-001-079-04-004,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/90/id.pro.es.image.master/46/9a/b0/1303906943.webp', 'tag': 'unknown'}]}",1050.0,good,35.0,calle de Alcalá,1,https://www.idealista.com/inmueble/107129988/,salamanca
2,0-EU-ES-28-07-001-079-04-005,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/81/9e/d1/28087280.webp', 'tag': 'livingRoom'}]}",1050.0,good,80.0,"calle Francisco Silvela, 67",1,https://www.idealista.com/inmueble/2039396/,salamanca
2,0-EU-ES-28-07-001-079-04-003,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/33/5a/22/573104647.webp', 'tag': 'kitchen'}]}",1100.0,good,50.0,"calle Antonio Toledano, 20",1,https://www.idealista.com/inmueble/81248762/,salamanca
1,0-EU-ES-28-07-001-079-04-002,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/35/d4/57/1305884169.webp', 'tag': 'kitchen'}], 'videos': [{'url': 'https://st3v.idealista.com/02/8c/76/1305884331.mp4', 'thumbnail': 'https://st3v.idealista.com/02/8c/76/d_0_1305884331.jpg', 'multimediaId': 1305884331, 'hasExternalVideoPlayer': False}]}",1100.0,good,50.0,calle de Montesa,1,https://www.idealista.com/inmueble/107196991/,salamanca
1,0-EU-ES-28-07-001-079-04-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/72/05/2e/1232140420.webp', 'tag': 'kitchen'}]}",1100.0,good,62.0,"calle de Núñez de Balboa, 115",1,https://www.idealista.com/inmueble/104805256/,salamanca
