rooms,locationId,multimedia,price,status,size,address,bathrooms,url,district
0,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/78/a3/98/1305321274.webp', 'tag': 'kitchen'}]}",770.0,good,29.0,calle de la Montera,1,https://www.idealista.com/inmueble/107178483/,sol
1,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/b6/a5/5a/1305157748.webp', 'tag': 'views'}], 'videos': [{'url': 'https://st3v.idealista.com/07/6f/fd/1305157794.mp4', 'thumbnail': 'https://st3v.idealista.com/07/6f/fd/d_0_1305157794.jpg', 'multimediaId': 1305157794, 'hasExternalVideoPlayer': False}, {'url': 'https://st3v.idealista.com/d6/f2/99/1305157827.mp4', 'thumbnail': 'https://st3v.idealista.com/d6/f2/99/d_0_1305157827.jpg', 'multimediaId': 1305157827, 'hasExternalVideoPlayer': False}]}",800.0,good,39.0,calle de Gerona,1,https://www.idealista.com/inmueble/107173369/,sol
0,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/c9/d7/bd/1305756575.webp', 'tag': 'kitchen'}]}",900.0,good,42.0,calle de Chinchilla,1,https://www.idealista.com/inmueble/84915608/,sol
0,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/25/da/bc/1302247019.webp', 'tag': 'unknown'}]}",900.0,good,20.0,"calle de Esparteros, 1",1,https://www.idealista.com/inmueble/107076525/,sol
1,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/c3/a4/67/1301416139.webp', 'tag': 'bedroom'}]}",900.0,good,24.0,calle de Carretas,1,https://www.idealista.com/inmueble/107048381/,sol
0,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/2c/95/15/1290624087.webp', 'tag': 'bedroom'}]}",900.0,good,20.0,calle del Arenal,1,https://www.idealista.com/inmueble/106675907/,sol
1,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/c9/3b/26/1304955022.webp', 'tag': 'unknown'}]}",950.0,good,37.0,"calle Fuentes, 14",1,https://www.idealista.com/inmueble/107131836/,sol
1,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/db/6a/00/858978236.webp', 'tag': 'facade'}]}",950.0,good,51.0,"calle Jardines, 29",1,https://www.idealista.com/inmueble/2069286/,sol
0,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/4a/f0/a7/1303054603.webp', 'tag': 'bedroom'}], 'videos': [{'url': 'https://st3v.idealista.com/4e/65/ce/1303056310.mp4', 'thumbnail': 'https://st3v.idealista.com/4e/65/ce/d_0_1303056310.jpg', 'multimediaId': 1303056310, 'hasExternalVideoPlayer': False}]}",990.0,good,32.0,"calle de las Fuentes, 14",1,https://www.idealista.com/inmueble/107102747/,sol
0,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/68/02/38/1304502266.webp', 'tag': 'livingRoom'}], 'videos': [{'url': 'https://st3v.idealista.com/9b/82/a4/1304504511.mp4', 'thumbnail': 'https://st3v.idealista.com/9b/82/a4/d_0_1304504511.jpg', 'multimediaId': 1304504511, 'hasExternalVideoPlayer': False}]}",1000.0,good,41.0,calle de Bordadores,1,https://www.idealista.com/inmueble/107150239/,sol
1,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/f6/c1/33/1304178041.webp', 'tag': 'bedroom'}], 'videos': [{'url': 'https://st3v.idealista.com/0e/9c/bb/1304205975.mp4', 'thumbnail': 'https://st3v.idealista.com/0e/9c/bb/d_0_1304205975.jpg', 'multimediaId': 1304205975, 'hasExternalVideoPlayer': False}]}",1000.0,good,55.0,calle de los Jardines,1,https://www.idealista.com/inmueble/107139547/,sol
1,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/35/0a/2a/1235662351.webp', 'tag': 'livingRoom'}], 'videos': [{'url': 'https://st3v.idealista.com/75/3e/82/1235652786.mp4', 'thumbnail': 'https://st3v.idealista.com/75/3e/82/d_0_1235652786.jpg', 'multimediaId': 1235652786, 'hasExternalVideoPlayer': False}]}",1000.0,good,55.0,calle de los Jardines,1,https://www.idealista.com/inmueble/104908064/,sol
0,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/bb/49/30/1285009832.webp', 'tag': 'unknown'}]}",1000.0,good,40.0,calle de Tetuán,1,https://www.idealista.com/inmueble/106509549/,sol
1,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/d9/8c/2b/1304964797.webp', 'tag': 'bedroom'}]}",1100.0,good,25.0,"calle de Preciados, 19",1,https://www.idealista.com/inmueble/107166390/,sol
1,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/78/99/8d/1296246259.webp', 'tag': 'balcony'}]}",1100.0,good,43.0,luna,1,https://www.idealista.com/inmueble/106864648/,sol
0,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/6d/63/24/1298264419.webp', 'tag': 'bedroom'}]}",1150.0,good,27.0,"calle del Arenal, 22",1,https://www.idealista.com/inmueble/106941143/,sol
0,0-EU-ES-28-07-001-079-01-006,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/fc/e8/86/1298539658.webp', 'tag': 'room'}]}",1150.0,good,41.0,"calle de la Aduana, 7",1,https://www.idealista.com/inmueble/95253893/,sol
