rooms,locationId,multimedia,price,status,size,address,bathrooms,url,district
0,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/96/f0/fe/801982414.webp', 'tag': 'views'}], 'videos': [{'url': 'https://st3v.idealista.com/5b/8b/0c/805008516.mp4', 'thumbnail': 'https://st3v.idealista.com/5b/8b/0c/d_0_805008516.jpg', 'multimediaId': 805008516, 'hasExternalVideoPlayer': False}]}",1000.0,good,40.0,calle de Claudio Coello,1,https://www.idealista.com/inmueble/90912853/,retiro
1,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/c4/bf/eb/1199982546.webp', 'tag': 'unknown'}], 'videos': [{'url': 'https://st3v.idealista.com/4d/aa/cf/1200001545.mp4', 'thumbnail': 'https://st3v.idealista.com/4d/aa/cf/d_0_1200001545.jpg', 'multimediaId': 1200001545, 'hasExternalVideoPlayer': False}]}",1100.0,good,45.0,calle Claudio Coello,1,https://www.idealista.com/inmueble/103783270/,retiro
1,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/a0/d6/60/1237621946.webp', 'tag': 'unknown'}], 'videos': [{'url': 'https://st3v.idealista.com/37/d1/ec/1237625711.mp4', 'thumbnail': 'https://st3v.idealista.com/37/d1/ec/d_0_1237625711.jpg', 'multimediaId': 1237625711, 'hasExternalVideoPlayer': False}]}",1150.0,good,45.0,calle de Claudio Coello,1,https://www.idealista.com/inmueble/104967301/,retiro
1,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/97/b3/6d/1309609271.webp', 'tag': 'facade'}]}",1200.0,good,30.0,calle de Claudio Coello,1,https://www.idealista.com/inmueble/107325400/,retiro
0,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/43/ec/58/894036065.webp', 'tag': 'kitchen'}]}",1400.0,good,20.0,calle del Conde de Aranda,1,https://www.idealista.com/inmueble/94634147/,retiro
0,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/51/fa/84/1304088936.webp', 'tag': 'bedroom'}]}",1600.0,good,35.0,"calle de Villanueva, 30",1,https://www.idealista.com/inmueble/107137010/,retiro
2,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/b4/c0/80/1305043815.webp', 'tag': 'corridor'}]}",1650.0,good,60.0,"calle de Velázquez, 9",1,https://www.idealista.com/inmueble/102313113/,retiro
3,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/ee/64/b3/1295157504.webp', 'tag': 'livingRoom'}]}",1700.0,good,78.0,Neighbourhood: Recoletos,1,https://www.idealista.com/inmueble/106824478/,retiro
2,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/63/c0/15/1299467908.webp', 'tag': 'unknown'}]}",1795.0,good,85.0,"calle de Claudio Coello, 19",1,https://www.idealista.com/inmueble/106982656/,retiro
1,0-EU-ES-28-07-001-079-04-001,"{'images': [{'url': 'https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/ce/06/9a/1300970740.webp', 'tag': 'bedroom'}], 'videos': [{'url': 'https://st3v.idealista.com/f9/98/b0/1300971139.mp4', 'thumbnail': 'https://st3v.idealista.com/f9/98/b0/d_0_1300971139.jpg', 'multimediaId': 1300971139, 'hasExternalVideoPlayer': False}]}",1800.0,good,64.0,calle de Claudio Coello,1,https://www.idealista.com/inmueble/107032722/,retiro
